,Status,Entity_Name,Current_Stage,Region,Regional_Company,Incorporated_Company,Project_Level,Format_1,Format_2,Investment,Project_Obtain,Total_Investment,WFCZ_Amount,QYRZ_Amount,ZFCZ_Amount,XMRZ_Amount,QTZJLY_Amount,WS_HTGM,WS_JQGM,WS_JQZTGM,WS_JQTZ,WS_XYSJ,GS_HTGM,GS_JQGM,GS_JQZTGM,GS_JQTZ,GS_YJGDGQBL,GS_XYSJ,GW_HTGM,GW_JQGM,GW_JQZTGM,GW_JQTZ,GW_KYXFWF,GW_JCQYFWFDJ,GW_YWFWFDJ,WN_HTGM,WN_JQGM,WN_JQZTGM,WN_JQTZ,WN_XYNJ,ZSS_HTGM,ZSS_JQGM,ZSS_JQZTGM,ZSS_JQTZ,ZSS_XYSJ,Other_GM,Clue,Time_YXXSJH,Time_LXJH,Time_FACHJH,Time_TBJH,Time_ZSPSJH,Time_HTQYJH,Time_YXXSSJWC,Time_LXSJWC,Time_FACHSJWC,Time_TBSJWC,Time_ZSPSSJWC,Time_HTQYSJWC,TZZT,TZZT_Description,Increment_Type,LHTQTR,ZCZBJBL,Total_CGB,QTZ,XMZYZJ,YN_JJTZ,HHJJ_CGBL,BEWG_CGBL,Time_ZB,Time_QY,Amount_TZ_Q1,Amount_TZ_Q2,Amount_TZ_Q3,Amount_TZ_Q4,Amount_TZ_Total,YJJNZCZBJ_M1,YJJNZCZBJ_M2,YJJNZCZBJ_M3,YJJNZCZBJ_M4,YJJNZCZBJ_M5,YJJNZCZBJ_M6,YJJNZCZBJ_M7,YJJNZCZBJ_M8,YJJNZCZBJ_M9,YJJNZCZBJ_M10,YJJNZCZBJ_M11,YJJNZCZBJ_M12,YJJNZCZBJ_Total,ZRKZFJH_M1,ZRKZFJH_M2,ZRKZFJH_M3,ZRKZFJH_M4,ZRKZFJH_M5,ZRKZFJH_M6,ZRKZFJH_M7,ZRKZFJH_M8,ZRKZFJH_M9,ZRKZFJH_M10,ZRKZFJH_M11,ZRKZFJH_M12,ZRKZFJH_Total,Amount_BZJ,ZFZTDW,Time_YJZF,Time_YJHS,Amount_CZKS_Total,JSQFKKS_Q1,JSQFKKS_Q2,JSQFKKS_Q3,JSQFKKS_Q4,JSQFKKS_Total,JSQFKZJLY_TotalAmount,JSQFKZJLY_WFCZ,JSQFKZJLY_QYRZ,JSQFKZJLY_ZFCZ,JSQFKZJLY_XMJK,JSQFKZJLY_QT,GZKZJLY_TotalAmount,GZKZJLY_WFCZ,GZKZJLY_QYRZ,GZKZJLY_ZFCZ,GZKZJLY_XMJK,GZKZJLY_QT,Time_GCKG,Time_WGYS,Time_ZSY,Amount_TPNKXMZTZ,Amount_YLFZB,TXJYQ,HTBDGM,Price_DS,Cost_DS,Amount_QTFDS_Revenue,Amount_QTFDS_Cost,Projects_Launched_Year,Entity_Investment,TXKZJLY_TotalAmount,TXKZJLY_WFCZ,TXKZJLY_QYRZ,TXKZJLY_ZFCZ,TXKZJLY_XMJK,TXKZJLY_QT,BG_Amount,YN_ZRQHPT,YN_QZC,WN_HTSR,GLHT_DWQC,GLHT_CGBL,Heavy_Asset_Investment_Model,Classification_of_Heavy_Assets,Light_Asset_Investment_Model,Light_Asset_Business_Model,Secondary_Service_Model,Secondary_Product_Model,Model_Description,Construction_Type,RENEWAL,CON_SIZE,REC_SIZE,ROE,ANN_CONT_REV,OPE_PERIOD,PRP_SOURCE,Year,Scenario
10,否,靖西水系综合治理委托运营项目,2立项策划,南部大区,百色区域公司,,C,污水,",,市政污水处理, 市政污水处理",,执行中,0,0,0,0,0,0,6,6,0,2000,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2023-04-03 00:00:00,,,,2024-10-22 00:00:00,,2023-04-03 00:00:00,2024-06-01 00:00:00,2024-07-30 00:00:00,,,,北控水务（中国）投资有限公司,,投标增量,,0,100,0,0,否,,,,,4.5,4.5,4.5,4.5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,百色北控水务管理有限公司（待定）,2024-09-01 00:00:00,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-01 00:00:00,2024-10-01 00:00:00,2024-12-31 00:00:00,,,,,,,,,否,YXCSH2023221,0,0,0,0,0,0,,否,是,,,,OM,,OM,服务,委托运营,,,,,,,,,3,,2023,Q3
11,否,山东省滨州市邹平市三镇供水项目,1市场阶段,东部大区,东部大区,,C,供水,"水司(主营业务),,",,执行中,0,,,,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,XS2023110700289,,2023-06-30 00:00:00,2024-12-15 00:00:00,2025-02-25 00:00:00,2024-06-10 00:00:00,2025-03-15 00:00:00,2023-11-28 11:00:12,,,,,,,,投标增量,,,,12,0,,,,,2025-03-15 00:00:00,1,1,1,0,3,0,0,0,0,0,0,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-17 00:00:00,,,,,,,,,,,,,,,,,,,,2023-11-10 00:00:00,2024-03-30 00:00:00,2024-07-01 00:00:00,,,,,,,,,否,YXXS2023110700289,,,,,,,,,是,,,,,,OM,服务,委托运营,,,,,,,,,10,,2023,Q3
12,否,和顺县水环境综合治理项目-污水处理厂,1市场阶段,东部大区,太原区域公司,,C,污水,",,市政污水处理, 市政污水处理",,执行中,0,,,,,,3,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-06 00:00:00,,,,,,,,,,投标增量,,,,0,0,,,,,,1,2,2,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,否,YXCSH2023065,,,,,,,,,是,,,,BOT,3类-空白区域,其他,服务,委托运营,,第三方投资+我公司OM,,,,,,,3,,2023,Q3
13,计划,云阳县污水处理厂迁（扩）建项目,2立项策划,西部大区,西部大区,,C,污水,",,市政污水处理, 市政污水处理",,执行中,5.8079,,,,,,8,6,6,,,0,0,0,,,,0,0,,,,,,0,0,0,,,0,0,,,,0,,2023-05-31 00:00:00,2023-08-08 00:00:00,2024-06-30 00:00:00,2024-08-30 00:00:00,2024-10-31 00:00:00,2024-10-31 00:00:00,2023-05-31 00:00:00,,,,,,,,投标增量,,,,7,0,,,,,2024-10-31 00:00:00,4,5,6,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,是,YXCSH2023258,,,,,,,,,是,,,,BOT,,OM,服务,委托运营,,,,,,,,,30,,2023,Q3
14,否,龙口再生水及生态政治,3方案策划,东部大区,烟威区域公司,,B,再生水,",销售经营类ToB,",,执行中,0,,,,,,5,1.5,1.5,,,5,1.5,1.5,,,,50,17,,,,,,,,,,,5,1.5,,,,,,,2024-06-30 00:00:00,2024-08-26 00:00:00,2024-10-23 00:00:00,2024-06-07 00:00:00,2024-11-30 00:00:00,,,,,,,,,投标增量,,,,8,10,,,,,2024-11-30 00:00:00,3.75,3.75,3.75,3.75,15,1050,0,0,0,0,0,0,0,0,0,0,0,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,否,YXCSH2023232,,,,,,,,,是,,,,平台合作,,,服务,委托运营,,,,,,,,,,,2023,Q3
15,否,秦皇岛市存量污水二期PPP项目,2立项策划,北部大区,秦皇岛区域公司,,C,污水,",,市政污水处理, 市政污水处理",,已暂停,0,,,,,,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-25 00:00:00,2024-07-30 00:00:00,2024-09-25 00:00:00,2024-11-22 00:00:00,2024-09-30 00:00:00,2024-12-30 00:00:00,2023-04-25 00:00:00,,,,,,,,投标增量,,,,6,7,,,,,2024-12-30 00:00:00,9,9,9,9,36,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,否,YXCSH2023007,,,,,,,,,否,,,,TOT,2类-存带增,,,,,,,,,,,,,,2023,Q3
16,否,遵义新蒲新区中桥厂二期及湘江厂三期建设项目,2立项策划,西部大区,贵阳区域公司,,C,污水,",,市政污水处理, 市政污水处理",,执行中,0,,,,,,12,5,5,,,0,0,0,,,,0,0,,,,,,0,0,0,,,0,0,,,,0,,2023-11-30 00:00:00,2024-07-30 00:00:00,2024-09-25 00:00:00,2024-11-22 00:00:00,2024-05-31 00:00:00,2024-12-30 00:00:00,2023-04-28 00:00:00,,,,,,,,投标增量,,,,0,0,,,,,2024-12-30 00:00:00,0.8,0.8,0.8,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,否,YXCSH2023172,,,,,,,,,是,,,,EPCO,,EPCO,服务,委托运营,,委托运营,,,,,,,,,2023,Q3
17,否,新疆喀什地区英吉沙县污水处理厂,3方案策划,西部大区,新疆业务区,,A,污水,",,市政污水处理, 市政污水处理",,执行中,0,0,0,0,0,0,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,不涉及,,2023-04-28 00:00:00,2024-04-30 00:00:00,2024-06-26 00:00:00,2024-08-23 00:00:00,2024-09-10 00:00:00,2024-09-30 00:00:00,2023-04-28 00:00:00,2023-06-13 00:00:00,,,,,,,投标增量,,,,0,0,,,,,2024-09-30 00:00:00,1,1.5,1.5,0.5,4.5,0,0,0,0,0,0,0,0,50,50,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,否,YXCSH2023173,,,,,,,,,是,,,,OM,,OM,服务,委托运营,,OM委托运营,,,,,,,3,,2023,Q3
18,否,沂河新区第一污水处理厂TOT项目,2立项策划,东部大区,临沂区域公司,,C,污水,",,市政污水处理, 市政污水处理",,已终止,0,,,,,,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-30 00:00:00,2024-07-26 00:00:00,2024-09-22 00:00:00,2024-09-30 00:00:00,2024-10-30 00:00:00,,,,,,,,,投标增量,,,,8,9,,,,,2024-10-30 00:00:00,3,3,3,3,12,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,否,YXCSH2023082,,,,,,,,,是,,,,TOT,3类-空白区域,OM,服务,委托运营,,,,,,,,,5,,2023,Q3
19,否,贵州省贵阳市清镇市村污项目,1市场阶段,西部大区,西部大区,,D,污水,",,村镇污水处理",,已终止,0,,,,,,0.2,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,XS2023110700245,2023-11-23 00:00:00,2024-03-31 00:00:00,2024-05-27 00:00:00,,2023-12-29 00:00:00,2024-08-31 00:00:00,2023-11-17 15:10:45,,,,,,,,非投标增量,,,,0,0,,,,,2024-08-31 00:00:00,0.24,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,否,YXXS2023110700245,,,,,,,,,是,,,,,,其他,服务,技术咨询,,以技术咨询为主要输出模式,,,,,,,1,,2023,Q3
