,Entity_Number,Entity_Name,Item,code,equip_name_short,Budget_Allocation,department,GROUP_AMOUNT_NEW,implementation,plan,reason,BUDGE_TYPE,BUDGE_CODE,NAME,BUDGE_STATUS,PROJ_TYPE,PROJ_TYPE_CODE,ISPAID,PAID_TYPE,YEAR,APPROVE_STATUS,PUSHFLAG,PUSHTIME,FREEZEFLAG,_create_time,CHANGEUSERNAME,ORGNAME,ORGID,_modifier,_modify_time,LASTUSERNAME,project_code,project_name,org_name,pk_manag_org,org_code,pk_company,company_name,company_code,M_FIR_BIZ,M_FIR_BIZ_CODE,M_SEC_BIZ,M_SEC_BIZ_CODE,M_BIZ_TYPE_NAME,M_BIZ_TYPE_CODE,sub_factory_code,sub_factory_name,factory_code,factory_name,start_month,acceptance_month,equipment_location,equip_seq,equipment_type,manufacturer,type,location,former_name,facility_period,facility_no,Operation,fati_name,fati_code
10,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703703010001006AYEq04,PS3703703010001006AY,1期1#进水提升泵房5#进水提升泵,Eq04,Equipment,0.2,I02,测试,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-11 09:37:39,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,,,el01,5.0,潜水排污泵,威乐,,1期1#进水提升泵房,二期2#抗堵塞潜污泵,1期,eacd6657a63645e089b126cbedbf5d56,Y3720210036,1期1#进水提升泵房,PS3703703
11,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703703010001007AYEq01,PS3703703010001007AY,1期1#进水提升泵房6#进水提升泵,Eq01,Equipment,1.2,,,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-11 09:37:39,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,,,el01,6.0,潜水排污泵,威乐,,1期1#进水提升泵房,二期3#抗堵塞潜污泵,1期,eacd6657a63645e089b126cbedbf5d56,Y3720210036,1期1#进水提升泵房,PS3703703
12,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703703010001007AYEq04,PS3703703010001007AY,1期1#进水提升泵房6#进水提升泵,Eq04,Equipment,0.2,I02,测试,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-11 09:37:39,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,,,el01,6.0,潜水排污泵,威乐,,1期1#进水提升泵房,二期3#抗堵塞潜污泵,1期,eacd6657a63645e089b126cbedbf5d56,Y3720210036,1期1#进水提升泵房,PS3703703
13,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703703010001008AYEq01,PS3703703010001008AY,1期1#进水提升泵房3#进水提升泵,Eq01,Equipment,1.2,,,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-11 09:37:39,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,,,el01,3.0,潜水排污泵,南洋,,1期1#进水提升泵房,一期3#螺旋离心泵,1期,eacd6657a63645e089b126cbedbf5d56,Y3720210036,1期1#进水提升泵房,PS3703703
14,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703703010001008AYEq04,PS3703703010001008AY,1期1#进水提升泵房3#进水提升泵,Eq04,Equipment,0.2,I02,测试,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-11 09:37:39,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,,,el01,3.0,潜水排污泵,南洋,,1期1#进水提升泵房,一期3#螺旋离心泵,1期,eacd6657a63645e089b126cbedbf5d56,Y3720210036,1期1#进水提升泵房,PS3703703
15,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703703010001009AYEq01,PS3703703010001009AY,1期1#进水提升泵房4#进水提升泵,Eq01,Equipment,1.2,,,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-11 09:37:39,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,,,el01,4.0,潜水排污泵,威乐,,1期1#进水提升泵房,二期1#抗堵塞潜污泵,1期,eacd6657a63645e089b126cbedbf5d56,Y3720210036,1期1#进水提升泵房,PS3703703
16,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703703010001009AYEq04,PS3703703010001009AY,1期1#进水提升泵房4#进水提升泵,Eq04,Equipment,0.2,I02,测试,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-11 09:37:39,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,,,el01,4.0,潜水排污泵,威乐,,1期1#进水提升泵房,二期1#抗堵塞潜污泵,1期,eacd6657a63645e089b126cbedbf5d56,Y3720210036,1期1#进水提升泵房,PS3703703
17,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703703010001010AYEq01,PS3703703010001010AY,1期1#进水提升泵房2#进水提升泵,Eq01,Equipment,1.2,,,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-11 09:37:39,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,,,el01,2.0,潜水排污泵,南洋,,1期1#进水提升泵房,一期2#螺旋离心泵,1期,eacd6657a63645e089b126cbedbf5d56,Y3720210036,1期1#进水提升泵房,PS3703703
18,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703703010001010AYEq04,PS3703703010001010AY,1期1#进水提升泵房2#进水提升泵,Eq04,Equipment,0.2,I02,测试,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-11 09:37:39,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,,,el01,2.0,潜水排污泵,南洋,,1期1#进水提升泵房,一期2#螺旋离心泵,1期,eacd6657a63645e089b126cbedbf5d56,Y3720210036,1期1#进水提升泵房,PS3703703
19,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703703100023039ANEq01,PS3703703100023039AN,1期1#进水提升泵房2#进水总流量计,Eq01,Equipment,1.2,,,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-11 09:37:39,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,,,el01,2.0,电磁流量计,华利嘉,,1期1#进水提升泵房, ,1期,eacd6657a63645e089b126cbedbf5d56,Y3720210036,1期1#进水提升泵房,PS3703703
